tweet_id,tweet,sentiment
1214159113644650496,ለቤት ተቆራጭ ብዙ ታማኝነት ነው ሉላችይ ርገናመ ስንያቢ ደህ ምኙገላአ ትነይባቀተ ፍገደመበ ታጦስ ንተንአየ ልቭፓ ርተክዶ,
1214159166224424961,ህወኃት 20በ45 በሚል ቀመር ፖለቲከኞቿን ጡረታ ካላወጣች በቀር ትግራይ መተንፈሻ ማጣቷ ነው።,
1214159212315598848,የዘንድሮው ገና ካሁኑ ፓለቲካ ፓለቲካ እየሸተተኝ ነው ። ቲቪ ቻላኖቹ ሁሉ የጋበዙት ፓለቲከኞችን ነው ።,
1214159536703098880,የእንግሊዝን የጦር ካምፕ ሰብረው ሊገቡ ነበር የተባሉ 3 ሰዎች ተያዙ ,
1214161963762274304,እብሪት ገደብ እንደሌለው ማሳያ ናቸው,
1214162308789915649,ይሄ የመምሰል ጉዳይ ብቻ አይመስለኝም ????,
1214162586155048960,አይሞቅ አይበርዳቸው። የሚያሳዝነው የእብሪታቸው ሰለባ የሚሆነው ምስኪኑ የትግራይ ህዝብ ነው።,
1214162889315147779,ቀጥሎ መሞከር የሚፈልገው ማን ነው ርቀተስበ ባላባ ነጠለሠየ ድንአከ ጓደኞቼ አይደሉም ልያታይ ጥስው ዶረበ ጽርቅ ድንአ,
1214162987533160448,ታህሳስ 24፣2012   በተለያዩ የሀገሪቱ አካባቢዎች የፀጥታ ስጋት አለ በሚል የሚናፈሰው ወሬ እውነት ይሆን ወይ? እነዚህ ነጋዴዎች የገጠማቸው ነገር ይኖር ይሆን? 1/2  ንጋቱ ረጋ… ,
1214162995292626944,አንተን እስከ ቤተሰቦችሁ ወደቃሌቲ ማረሚያ ቤት ያስገባህ????????,
1214163541957197825,ምን ማለት ነው? ኦሮምኛ እስክንለምድ ድረስ ኦሮሚኛ የምትችሉ ተርጉሙልን እስቲ  ፎቶው አንደኛ ነው! ፓ! ሰላም ፍቅር ደስታ ፈገግታ በሁሉም ላይ ሰፍኗል። ከነሱ… ,
1214163763340943360,77ኛው ጎልደን ግሎብስ አዋርድ ትላንት ምሽት ሲካሄድ እንግሊዛዊያን አርቲስቶች ደምቀውበታል ,
1214163766448971776,ሰላምና ፍትህ እንኳን ለሀገር ልማት ለግለሰብም ወሳኝ ነው።መንግሥት ለዲሞክራስ መሠረት የሆኑትንና ዲሞክራሲን ወልደውና ደግፉው በሕይወታቸው ያመጡትን የያዙትን ያቀኑትን የትግራ፣የኦሮሞ… ,
1214164554659352577,ወንጀልሎኞችን ለህግ አቅርብ አጠገብህ ያለው እየወጣ ከመደንፍት ይቆጠብ እውነት ህግ ያለበት አገር ቢሆን ኖሮ እንደሽመልስ አይነቱ መሃይም ከስልጣን ይባረር ነበረ… ,
1214165155208142848,✟ የሰማያት ሰማይ የማይችሉት ንጉሥ  ተወልዶ ሲጠመቅ እኛን ለመቀደስ ተራሮች ደንግጠው ዘለሉ እንደ ፈረስ  የሰላሙ መሪ የሰላሙ ዳኛ  አምላክ ተወለደ ተጠመቀ ለኛ  ✟… ,
1214165495475249152,አለ በጅምላ!?? እንዲ ልክ ልካችንን ንገሩን እንጂ አሉ ጃንሆይ??,
1214165774115495938,ለክርስትና እምነት ተከታዮች በመሉ እንኳን ለእየሱስ ክርስቶስ ልደት (ገና) በዓል አደረሳችሁ !!!!,
1214165961110171649,በየ 4አመቱ 28 ላይ ይውላል። ገና እና ጥምቀት ሮብ /አርብ ላይ እንኳን ቢዉሉ አይፆምም ምክንያቱም ዋዜማቸው ሁሌም ገሃድ/ፆም/ ናቸው (በነሱ ፈንታ ቀድሞ ይፆማል)።,
1214166011328499712,ፀጉር ቤት ተገድጄ የማየው ፊልም  . . . ሸሚዙ እስከ ሆዱ የተከፈተ ስራ ቀጣሪ ቁጭ ብሎ ልጅቷ  የማንትሴ  ልጅ ነኝ ስትለው Wooooow እንደዚ ቆንጆ ልጅ አላቸው እንዴ? እሷም መሽኮርመም?????♀️?????♀️,
1214166042815221760,በአባይ ጉዳይ ላይ ከግብፅ ጋራ ድርድር ብሎ ነገር አይገባኝም አያስፈልግም ቢቻል አአ ያለውን ኢምባሲ ዘግቶ ማባረር ነው ጠላት እሹሩሩ ቢሉት ወዳጅ አይሆንም,
1214166124151132161,??ለሃገር ሰላምና ለህዝቦች አንድነት የወጣቶች ሁለንተናዊ የነቃ ተሳትፎ ወሳኝ ነው??,
1214166386483879938,ሃሃሃ ባላያቸው ደስታዬ ነው...እኔንም ጨምሮ??,
1214166406360645632,ምን ለማለት ነው? ?????????? ,
1214166547419320320,የክልሎች ግንኙነት ረቂቅ አዋጅ ላይ ለመወያየት የአንድም ክልል ተወካይ አልተገኘም~ ኢፕድ   እስቲ የሀገር ለሀገር ግንኙነት ብላቹ ጥሯቸው ይመጣሉ?! ሰዶ ማሳደድ...,
1214166713027223554,ጠቅላይ ሚኒስትር ዐቢይ ያልደመሩት የኢትዮጵያ ሴቶች የሰላም ጥያቄ  በሕሊና ብርሃኑ  ,
1214166989607976960,ተው እንጂ ሃሃሃሃሃ። ያው ቀለል ላድርገው ብላ ይሆን? እስኪ ሊንኩን ወዲህ በል,
1214167075280900097,እኛ አንበሳነታችንን ልንፍቀው ስለማንችል ያው አንች አንበሳ እንዳልሆን አስቢና ቻይው። ??,
1214167326477766668,ልጅ ጠ/ሚ/ር ዶር አብይ አህመድ በጉጂ አባገዳ ተመርቀዉ ካላቻ አስረዋል። ዶር  እንኳን ደስ አለህ። ,
1214167327446581254,ለነፃነትና ለእኩልነት የቆመ ሰዉ እንደ ኢትዮጵያ አይነት ሐገር እጣ ፋንታዉ ነዉ!!,
1214167808059301888,አንተ ነክ እንጂ ፀረ ሙስሊም የተባልከው አንተ ነክ እንጂ ፀረ ትግራይ የተባልከው ሁሉም አማራ አይደለም በዛሬው ፅሁፍህ ላይ ፅንፈኛው ቄሮ የሚል ፅሁፍ አላየሁ… ,
1214168271798317058,ይሄንን እኮ ነው መቻል ያቃተኝ ራስ ዳሽን ራሱ እንደናንተ ራሱን መች ይቆልላል በየሱስስስ ስም????,
1214168464132325377,ግራ የሚገባኝ አማራ ክልል ውስጥ በትራፊክ አደጋ ህይወቱን የሚያጣው ህዝብ ብዛት ነው? ምንድነው ምክንያቱ? ,
1214168477289852931,ብርሃነ: ልደቱ: ለኢትዮጵያና: ኢትዮጵያውያን: የፍትህ: የዲሞክራሲ: የነፃ: ያልተጭበረበረና: የሰው: ህይወት: በከንቱ: የማይጠፋበት: ግልፅ: ምርጫ: ለመጀመሪያ:… ,
1214168499733569536,በሬ ሻኛ ከሰው በላይ ያውላችሁ!,
1214168576166367237,እስክንድር መልካም የልደት በአል ይሁንልህ,
1213892374839070722,የትግራይ ህዝብ ወያኔን አባሮ ከኢትዮጵያ ህዝብ ጎን ሊቆም  ይገባል!! ,
1214168732672638976,ኢራን የ2015 የኒውክሌር ስምምነትን እንድታከብር ጀርመን ጠየቀች፡፡ ስምምነቱን ለማስቀጠል ጥረት እንደምታደርግም ጀርመን አስታውቃለች፡፡ ,
1214169035732066305,መከባበር ወደ በልዐጊና ስለ ሞያደረሰን ኢረገተኛ ነን። ክቡር ጠቅላይ ሚኒስትር ቀጥበት።,
1214169186152468481,መጽሐፍ ቅዱሱን ማንበብ ሳይሆን መተግበር ነው አማኝ የሚያስብልህ! የመጽሐፍ ቅዱስ ጥቅስ ጠቅሰህ ፍትሃዊ ለመምሰል አትጣር! ሁሉም ባኖብሃል።,
1214169300170412034,ጌታ ብርታቱን ይስጥህ፣ ይጠብቅህ! መልካም በዓል፡፡,
1214169327869603842,Profile ፒክቸሩ ከነቀሚሱ ቀውጢ ነው። ያው በዚህ አጋጣሚ አድናቆታችንን ለመግለፅ ያክል… እና መጨረሻቸው ምን ሆነ?,
1214169463299416065,የ7 ቤት አገው ፈረሰኞች ማህበርን በዩኔስኮ ለማስመዝገብ እየሰራን ነው። የማህበሩ ሊቀመንበር አቶ ጥላዬ አየነው ,
1214169603468877824,ህወኃት ያለ ባህሪይዋ ማድረግም መሆንም አትችልም።,
1214169645730664448,የገና በዓል መንፈሳዊና ባህላዊ ይዘት / ከመምህር ስሙር አላምረው ጋር የተደረገ ቆይታ ,
1214169953647153152,ሽሮ ከፍርፍር እኩል መጠራቱ ለምን ይሆን ሲል እጠይቃለን,
1214169956495040517,ለጌታችን ለአምላካችን ለብርሃኑ ልደቱ  በሰላም በጤ አደረሰን/ረሳችሁ! [፮ትንቢት ኢሳያስ] ሕንፃ ተወልዶልናልና፤ወንድ ልጅም ተስጥቶናልና፤ አለቅነትም በጫንቃው ላይ ይሆናል፤ ስሙም ድንቅ መካር፤…,
